order_id,order_date,ship_mode,customer_id,segment,region,category,sub_category,product_name,unit_price,quantity,discount_pct,discount_amt,sales,profit,payment_mode,year,month,month_name,quarter,day_of_week,week_of_year,profit_margin,revenue_band,sales_clean,profit_clean
ORD-105736,01-01-2021,Standard Class,CUST-3450,Corporate,South,Food & Beverage,Dairy,Product-165,157.54,12,10,189.05,1701.43,892.28,Credit Card,2021,1,Jan,Q1,Friday,53,52.44,L ($500-2K),1701.43,892.28
ORD-104637,01-01-2021,Standard Class,CUST-4913,Consumer,North,Food & Beverage,Bakery,Product-331,26.45,1,10,2.64,23.81,8.16,Cash,2021,1,Jan,Q1,Friday,53,34.27,XS (<$50),23.81,8.16
ORD-107243,01-01-2021,First Class,CUST-4296,Corporate,South,Clothing,Men,Product-437,25.34,1,15,3.8,21.54,12.51,Online Transfer,2021,1,Jan,Q1,Friday,53,58.08,XS (<$50),21.54,12.51
ORD-108380,01-01-2021,First Class,CUST-4080,Consumer,North,Office Supplies,Paper,Product-327,84.78,10,20,169.56,678.24,247.47,Cash,2021,1,Jan,Q1,Friday,53,36.49,L ($500-2K),678.24,247.47
ORD-108296,01-01-2021,Standard Class,CUST-4301,Corporate,North,Clothing,Sports,Product-228,17.68,7,10,12.38,111.38,47.67,Credit Card,2021,1,Jan,Q1,Friday,53,42.8,S ($50-200),111.38,47.67
ORD-102327,01-01-2021,Standard Class,CUST-4666,Consumer,North,Furniture,Tables,Product-100,14.09,14,0,0,197.26,105.48,Debit Card,2021,1,Jan,Q1,Friday,53,53.47,S ($50-200),197.26,105.48
ORD-108541,01-01-2021,First Class,CUST-3298,Corporate,South,Office Supplies,Pens,Product-305,36.48,10,25,91.2,273.6,110.11,Credit Card,2021,1,Jan,Q1,Friday,53,40.24,M ($200-500),273.6,110.11
ORD-100740,01-01-2021,Standard Class,CUST-3536,Consumer,West,Electronics,Accessories,Product-467,149.74,7,5,52.41,995.77,426.19,Cash,2021,1,Jan,Q1,Friday,53,42.8,L ($500-2K),995.77,426.19
ORD-102476,01-01-2021,Standard Class,CUST-3865,Consumer,South,Clothing,Kids,Product-103,60.11,11,30,198.36,462.85,198.1,Credit Card,2021,1,Jan,Q1,Friday,53,42.8,M ($200-500),462.85,198.1
ORD-104894,01-01-2021,First Class,CUST-1351,Consumer,South,Electronics,Accessories,Product-433,568.33,8,10,454.66,4091.98,1343.01,Debit Card,2021,1,Jan,Q1,Friday,53,32.82,XL (>$2K),4091.98,1343.01
ORD-102687,01-01-2021,Standard Class,CUST-4978,Consumer,North,Electronics,Laptops,Product-314,120.9,4,5,24.18,459.42,122.59,Online Transfer,2021,1,Jan,Q1,Friday,53,26.68,M ($200-500),459.42,122.59
ORD-100557,01-01-2021,Standard Class,CUST-2181,Corporate,South,Clothing,Kids,Product-441,29.45,2,20,11.78,47.12,15.55,Online Transfer,2021,1,Jan,Q1,Friday,53,33,XS (<$50),47.12,15.55
